id,texto,categoria
1,Excelente atención del personal de enfermería muy profesionales,Personal
2,Tuve que esperar 3 horas en urgencias inaceptable,Espera
3,Las instalaciones están limpias y bien equipadas,Instalaciones
4,El médico fue muy amable y explicó todo con detalle,Atención médica
5,El sistema de citas en línea falla constantemente,Tecnología
6,Muy buen servicio volvería sin dudarlo,General
7,Perdieron mis exámenes de laboratorio pésimo servicio,Procesos
8,La cafetería tiene opciones aceptables de alimentación,Instalaciones
9,El tiempo de espera para consulta fue razonable,Espera
10,Me cobraron un procedimiento que no habían solicitado,Facturación
11,La sala de espera es cómoda y bastante espaciosa,Instalaciones
12,El personal de recepción fue descortés conmigo,Personal
13,El diagnóstico fue preciso y el tratamiento efectivo,Atención médica
14,Muy difícil encontrar parqueadero en las instalaciones,Instalaciones
15,La atención fue normal sin nada especial que destacar,General
16,Los enfermeros explicaron muy bien el procedimiento,Personal
17,El médico fue rápido pero no explicó bien el diagnóstico,Atención médica
18,Buena ubicación y fácil acceso en transporte público,Instalaciones
19,El proceso de facturación es lento y muy confuso,Facturación
20,Atención de urgencias eficiente en mi caso particular,Espera
21,Las instalaciones son antiguas y requieren renovación urgente,Instalaciones
22,Me sentí bien tratado durante toda la consulta médica,General
23,Demasiados trámites burocráticos para solicitar una cita,Procesos
24,El servicio es bueno aunque podría mejorar en los tiempos,General
25,Excelente clínica el mejor servicio médico que he recibido,General
